huc8,ensemble_mean_et,eemetric_mean_et,ssebop_mean_et,disalexi_mean_et,ptjpl_mean_et,geesebal_mean_et,mean_eto,mean_pr
10080001,324.1882724782212,355.85857507969337,260.16061668512657,315.55483400070807,310.6921211077968,337.8124321139585,997.7027946356676,467.4266138023333
14040101,372.4894261608883,400.9091381337444,286.905894751051,371.1742825026452,384.5567787904899,369.8692738531756,927.2789654530548,446.61717641430727
17040102,469.9292688747023,492.6036012459283,433.0873587083942,423.1639703770504,459.7910051719399,481.1244217020812,880.0801459201525,642.1507960387099
17040103,516.356031850439,498.32412652532514,512.5877944514983,464.6331915154074,514.3900681032352,530.9223122784053,926.0298998375404,695.7568048545709
10190002,561.3262725480454,599.9584130436407,550.47175986017,609.1003523472987,542.7395182032885,597.368911178885,1113.7774279891769,566.5986992049633
10190001,436.7835582435918,512.5716925198049,354.97489836068894,493.16792752435344,421.60743431148734,429.6492087397204,1034.266635538416,488.7118184354047
16060008,322.30914153226087,291.1721747676152,213.4703413421373,365.4682573949122,351.27781301298995,430.56741555723306,1228.1668787055487,273.4198855395862
15010011,270.1235798864674,207.78541999536571,190.90283625245743,352.3201563372979,298.6570785197424,376.0925641191477,1425.9723688677122,250.668386311195
15010015,264.0156987972295,279.98806831505243,159.52854761915574,311.9875190624398,227.08220307480715,445.4707530577498,1504.3692235858268,172.55146662631776
16060014,188.10705891632145,138.04059150581432,146.50698233696983,270.2817624253002,209.40057506663584,271.8554164241877,1465.986340222389,198.88172595621828
16060015,206.324085786946,216.3991623211677,157.51800013178038,225.7115926557153,205.7384990623903,343.3702818519265,1646.8990763424454,151.51924605531144
15080302,342.75895405074925,311.7137457397377,291.3723415746168,386.8201427241464,404.67527650693256,378.82622540903606,1781.3351934631105,346.162991560706
15010010,259.5613120663573,139.96985725734663,266.8405720006632,340.97332520495297,289.5225937282373,310.2820897991226,1665.5752282614153,248.22513989897763
15010005,359.63625322194974,305.0317738782728,336.6698975664146,391.6037425275277,328.64318720498125,471.6745887530815,1582.165409681482,203.1790539853844
15030101,249.54948166497653,261.64740342132103,219.50068605314465,247.1751936209409,230.08174269443643,359.8103498581495,1810.9854036234708,181.1388767543479
15010006,309.7209371761577,253.7754206059404,277.5329621948158,378.37597118626985,319.1516006730359,370.4145071343828,1534.1883611715482,262.2865979509372
15010009,272.14450659607775,247.8165641266752,212.08514063564343,369.7669546918707,278.1948462360474,304.96004437118324,1530.0037824499093,309.5852393777331
15010003,396.48768886682205,378.1556206017637,345.833801064299,478.4410095082361,391.8530160045068,458.5684031427957,1482.5333030316478,356.25391715926787
15030104,263.7639243934232,259.5450878714477,215.93813527103265,269.5763926831788,274.67683587876456,408.9949413723761,1772.5672048604529,118.88840910109477
15030107,412.72413500378144,414.91778838807386,330.76279639297,399.0539645697713,371.6669851088725,608.706305721231,1862.9329517222643,78.39819503552411
15050304,303.33868993073514,323.712051519094,271.131537024607,351.576670540532,343.34412303418304,271.9938901902146,1766.4718144579017,240.47934746047903
15050306,252.312980090452,239.5162778804705,197.77282644113197,302.1987117915252,309.0383481302485,315.44259981841884,1862.6998313958356,176.0434015723017
15050305,212.8472450686594,166.25750254936176,186.8830224558644,255.62154041337968,272.35753026197625,252.13768873775223,1773.5412602909134,182.98505322306795
15050303,308.2504642660283,314.13114830609027,268.11458823888546,349.3461960676645,351.8085587589842,333.13016212654423,1843.5207610968605,179.20961663994757
15050100,357.57484109947075,388.97991095669965,319.2937574160536,389.6850717439178,383.0486687751091,374.9883654238566,1743.3375811794162,253.06722465061523
15050203,395.6894382304369,427.11444076062674,367.4636324583034,437.68737485244026,443.9274666485426,365.01459319275926,1689.8377517435656,268.2051235573824
15050302,432.4666597988718,450.5197708134936,314.280674900367,493.6352204346622,445.1787047674693,511.6797787409497,1577.990050061286,322.58814898132533
15050201,373.93712221543234,388.7807412699742,327.9159335054212,391.8140429708036,433.5707034853357,420.00215178152894,1694.5383144939976,295.784438635564
15040005,447.4200336994334,420.71464321641247,391.3655370271831,494.3341074371343,494.4371295206643,484.8490114002919,1659.1739109125308,315.24884144439375
15010014,185.6666023807084,197.86880668364591,120.47004276002964,208.32337211979623,214.9368151941165,287.0570497170558,1595.173883963642,212.71116706604272
15010002,436.6310607526216,374.3276860057942,403.325626215008,569.3472294891495,406.4639883081051,502.5472424423416,1517.0865598163311,304.3520523742374
15010007,242.1696489164345,263.1662949009783,211.9158546889313,297.1375914630336,261.0380611246917,250.05828655847188,1594.9399539139436,246.10506139295717
15010004,373.0337512265141,328.89835300222575,303.4011821368533,463.9682817404971,416.9622123464342,405.49749246475545,1444.5908365291134,312.7679031049327
15060201,459.4908393811287,550.9321139537486,381.46496402981336,519.077587337324,472.3648842699249,436.0113875228661,1495.6904756747929,354.72091199704226
15030201,356.15799326825754,470.8051587184004,324.6322289214004,402.0279290621792,358.03203103190697,305.85247751325426,1632.400046595188,333.46432594703606
15030103,199.41784386548167,229.33280542809905,199.0451630329906,220.3001507193313,237.11854258747945,188.7128878819868,1732.3437768257822,223.8347622209245
15030106,146.70435073604042,106.29202397548733,113.70514912419792,143.72253689202128,190.32060933409176,304.4450511274061,1744.0144068775128,144.99974112603388
15030105,157.4260815977678,134.1268091932417,124.31356675388255,188.8168164666425,183.52488234734545,231.02940485122167,1942.3937529494176,156.75296887393927
15030204,236.7333929607393,259.6939027523112,185.32368629582376,251.85385941989344,230.0573985757127,337.4036972493962,1875.391872823862,221.7112082838768
15030202,433.68833452866255,559.3781128761249,429.7881280914928,467.32265419735495,433.2716208119252,365.2251011422403,1682.6784552195368,358.2556452058184
15030203,457.8300695522314,575.567912497723,390.9111831280424,515.008221760802,434.72842448172383,458.0532431961384,1771.4699662248916,306.7232902398618
15070104,229.9455095545377,225.7209247060229,169.11344044176695,276.1494582108175,251.1228117107526,314.4160368008304,1899.4696736479768,162.187320956541
15070103,392.8441592302665,440.0063611191464,302.06084728298686,428.0245185103984,395.137749789989,541.0704892691979,1780.1596357691203,252.841957882388
15070102,468.3197606696934,502.1320744945013,379.74193015691856,503.5862283023628,480.9011490465186,600.3149018938557,1766.091711289279,315.7063052233625
15070201,192.6337433439888,172.05474212050663,141.32382849312395,229.89717428868616,215.47667182652376,332.08571674808024,1825.5990062396652,115.41050645417845
15070101,256.44992809940726,224.1586091676502,198.3329213727616,298.60005170630313,296.7413311599798,409.08475975096974,1838.909201652078,137.2987988347305
15070202,184.06290767349972,148.46662873611157,146.22447119679248,223.60901714858213,243.7953331964557,275.8480403140828,1942.7071974305136,123.51949246564445
15070203,205.39407957485315,180.3347359448544,148.4208447747126,235.1716189959897,241.1069304120816,345.88118627210457,1979.060634077228,136.91850037193836
18100100,124.63915314586062,152.86492348736394,109.0358400799078,134.1896908424491,155.41798494681498,197.4230323151656,1854.6382184769136,101.61604130974033
13010004,391.2836229452956,405.6580561131244,341.58536799869324,407.3194924551525,410.8763358991978,436.7897605632252,1167.6898536593308,372.52037830030457
14020003,441.2773494134707,479.8516396897304,427.508997622568,430.5083419628266,423.548994471936,477.4521794912417,1051.01951222659,424.4269474875697
13010001,467.8242244050445,552.0579022722563,460.8105336702466,435.6578722483783,426.7507863247489,469.0651974353544,1065.5272490912423,639.4112180805608
15040001,537.7204433546599,623.6751663362497,579.660597433641,578.3878289504961,516.6540900101469,503.0111916403959,1468.0972896331698,498.94638216769454
13030101,357.0071290088081,365.4873194660016,340.4745395674536,489.15800896857377,369.4370220913562,389.7428360030368,1601.351119092912,367.3634045824553
13020211,316.1924804065823,316.1956011816183,297.37671685153543,395.86019067375446,355.9391738723476,359.0593561270541,1602.6116934325073,321.9604493007484
16060007,300.1244695271976,290.24485953372306,184.1381868787876,318.8367050199586,321.6288117755728,458.9380955619993,1196.5292211781657,311.5506971447577
16060012,237.9626446796964,190.73640083052445,181.76711629180585,310.13085585838644,260.5509978179166,321.5514420111686,1370.082819874337,193.52804197897157
16060009,307.6610938075508,242.09893077340985,225.5420178558633,369.9303998306741,351.1584296276874,418.4434406309254,1411.74952721136,278.15671124240856
15010012,186.6328199440115,138.17369164779888,140.29155058235344,257.0546308435606,187.5230684230727,309.7149830748805,1538.253143519038,187.4296364110255
16030001,470.58672933891694,459.023308494888,417.8914762293697,559.2613648436229,468.2152764700822,446.91799621403777,1157.547639859718,520.8897597757745
15010008,463.5807016872422,307.7443070667691,477.5644054726709,557.7978810721785,458.3345939268359,515.1876371413244,1494.4461708973952,410.968097538083
15080301,382.0835584590323,355.99705416451644,333.4036950690451,409.74862219441394,456.4508750264848,454.1697006760584,1771.515780025088,359.013623927188
15050202,403.3851734602228,415.43844905139,313.5177710810595,433.7100142113042,464.4247521451301,480.1979776077687,1696.1464305954437,336.91292628410577
15050301,398.9056570325692,477.4908370189498,365.5227894356058,422.6587913830586,428.22001264281664,349.55610180911617,1720.3224017095583,314.3809163435634
15080101,290.0308557602993,278.3093786404888,258.1649465981093,334.666681471827,342.7178273228604,315.6966332128166,1938.220896809082,205.4743258614105
15080103,245.0347670011197,268.90749087105826,171.94495579894777,235.33885094290332,224.7856995806069,385.0343597941121,2122.325779758756,133.93265418825865
15030108,226.9488071156288,252.45730014245552,182.2861762244761,346.8309092900424,234.13695258357396,327.4727198756533,1924.2879888764987,93.9503380472732
15080102,330.92419707936523,385.4880860039143,228.5921435099364,336.10909775592046,327.80734533032506,466.2605231394183,2085.9756579243403,241.79648928825696
15080200,437.3968420806467,615.2817233901796,434.7351518920051,477.4821894896126,449.6376187868186,323.9421092326605,1776.7260925160324,299.4673811345255
15040006,290.55484588212283,242.41559473872323,225.90934710985687,316.1812895831487,358.51571754743065,409.3169973995953,1709.4368678862206,268.1218356900208
15040002,392.27671289316174,412.8686136857312,337.0378700357484,448.75210853407896,413.1703300309268,438.4771193371521,1687.1472734952483,332.22403490240504
15040003,248.62029535882093,262.7320317233704,193.61738972861613,311.3519359326769,287.7478094053768,269.971677273834,1725.0615667127838,263.7767623304088
15040004,608.6076904848012,647.8124798197846,616.1398352464385,648.2029973206709,609.055263347453,579.445241781482,1525.4554201111962,503.4415788854623
18100204,441.4528811105693,414.6297281527366,460.463281252271,340.96203342264783,441.0315063039735,515.124991404683,1910.092560828532,68.60176364191459
15030102,138.61739851135158,193.98305382965907,116.2492935183939,135.3617434999887,196.31600671464747,147.9602330399456,1715.3892345756765,180.41956070250745
13010002,431.9967456317575,480.0773685294186,374.9208224042837,437.3116392197748,449.8550437168184,497.0227730989977,1221.3330473924166,360.8229769376036
13010005,496.56951686985127,538.3557269319846,479.4605653705665,461.3718631380964,476.1757165399772,529.600253406806,1173.2469678608263,506.43105995909895
13020102,525.1035329311541,539.1635125014718,508.7110391819626,507.7836517654417,497.0994799910623,676.9696142354046,1334.8598863687953,398.94005651044085
13030201,242.5702396936425,257.6144913456066,206.50708839757584,303.65089308866163,293.82020694809614,223.135279707118,1803.2178466275257,285.8154314266775
13030202,250.3946611978316,263.52158151428665,224.72544794775723,356.80140928304706,291.80275536303304,250.53701302594064,1719.9281365276124,271.47587319329574
14040103,191.8966620471428,199.06235192184477,67.13264334131516,202.1548153785276,235.5554550688845,325.1497254511633,1029.6906780984143,229.9585862105816
