huc8,ensemble_mean_et,eemetric_mean_et,ssebop_mean_et,disalexi_mean_et,ptjpl_mean_et,geesebal_mean_et,mean_eto,mean_pr
14040103,212.7562352819949,173.39756862809392,105.7663506977574,256.3556938174412,294.92974424438216,295.87521779438106,1156.9061170823388,163.35952286323564
14040104,290.55181627448246,264.5994797374837,178.27799440820883,332.105729768768,359.5997529502771,347.1546447261383,1163.0174756560182,247.1228791582368
14040102,472.9200443609531,532.6206754421148,395.5893252941665,444.30182390232267,465.5856828016491,419.1225887339028,1049.620759374549,445.8372134763182
10180006,344.3166926859207,393.3545844903575,238.00693246164343,410.9797378029433,367.0918634046078,355.2538339535551,1217.294800411864,323.83863763368106
14040200,233.0430376970849,241.1378928517404,108.92767163266616,278.9005722727563,270.4219757820144,333.35981975432856,1225.776403511848,197.97287388787973
14040105,223.2343219180992,203.98288510380675,148.84038045006724,266.3933173040851,282.5144656871932,291.2458630047214,1208.3657056544148,164.15591024733158
10180003,425.22383081710143,518.2069646010121,317.49215996791975,478.3296201401912,387.70800083741887,495.1352347444268,1288.0178778424088,296.87760903702645
15020003,334.92178649182586,299.79031906449336,274.5886316122684,409.5850531982484,349.71516030473896,433.5374278539173,1531.307751812863,238.5114138565432
14080106,156.653968709733,146.69958698918424,133.87138210880258,197.83039340918813,212.190311480284,165.39624742957767,1639.8047706047985,120.06764969724507
15020004,399.7064065271963,385.7589011974845,321.74710404233946,477.4325764758694,383.0173840081145,531.0558857780902,1601.9987836895966,216.07550423649343
15020006,406.5525263691033,499.2230077735467,389.9350251319946,445.4704639675907,403.65180418292255,392.8296075068741,1706.4927977500545,199.4296491930224
15020002,248.67490770436183,151.87364845518164,192.26689425715423,303.0872905344813,294.06568252773866,404.014272997845,1546.560787209735,230.77126400857856
15020001,376.66378707593134,330.4994525194163,388.4942551930937,411.87810184057,426.1869262564621,395.6283806029838,1463.4533615002142,293.6484249135476
14080205,240.2811113727093,111.55266066025456,224.5081886948464,316.74759411773255,269.10543491247444,384.8494101365472,1696.4843125385626,78.1914103374455
14070006,287.91369457878307,174.778325608557,236.93742241930823,386.3998174091586,295.1420573736619,460.3838512569349,1647.163050929827,124.92667825922469
