huc8,ensemble_mean_et,eemetric_mean_et,ssebop_mean_et,disalexi_mean_et,ptjpl_mean_et,geesebal_mean_et,mean_eto,mean_pr
15020011,306.17039688801447,290.36551007260385,216.31024972057477,381.9873038693243,327.6598279689416,419.66718873166536,1635.612786130648,218.180218866928
15020009,352.04620450313,327.4455640076492,240.1863830257736,418.0056235386668,356.41248369126856,502.9877255924935,1583.2483469759966,223.80245046367023
15060102,780.7785357962543,725.8457798819236,890.4786624504655,739.8513934880808,751.2977214968612,792.8701191903147,1459.1113410665312,482.9601545583594
15060101,730.5114150057482,834.3961947238566,779.5556358473623,731.9914716199868,705.7858327102975,665.923277694149,1500.385269703985,398.4179776440893
14020005,497.44575712446994,400.2344844664816,416.6104808585266,646.7956930805329,495.874118445908,514.1637745218942,1192.5250824622085,458.6772842247431
14080102,710.3479504387609,716.2438491999621,707.725344644974,725.586835193208,652.7868411808622,818.9770417773248,1154.7666871328704,587.4418123572767
14020002,535.682932558881,546.6836454314331,496.2576471596296,545.2161932717421,509.5956247784496,531.3488260055415,1028.0140346163832,484.45075421353096
14010004,585.4101784038475,595.91874172168,569.6642743168042,557.866426010953,497.005187901507,578.7714035638335,974.1236420699612,858.4809255781607
14010003,550.4636303035736,558.7201517108014,513.0085902607135,490.360473010956,486.2606180479498,571.3516258034548,964.4315480780411,691.2929214015804
14020004,646.788875229736,636.1595358116999,636.197502361334,703.4455970196964,568.0101648761212,625.4507513600558,1071.4258661930442,702.5795454346533
14050006,499.1518954543524,406.01364496181526,404.00368639070285,556.4285543536771,514.8362625639567,511.62883539170514,1113.7486315941069,507.9484408182696
14050005,583.2281547086051,528.2940668150723,549.8024920218776,595.8295375202034,529.9818968801161,566.4219083437814,1058.8876675690171,766.4857676126855
10180001,500.8485941445735,552.697085725734,432.871420635725,498.0911393033855,473.5136778310169,415.5235757514429,997.7127431194724,872.9745742533731
14050002,431.1652200181551,335.9425308171957,337.8076847362313,496.3543770126888,489.24495854021694,452.33595211867,1058.6949930597514,509.505569000251
10190005,593.5091484667622,606.3020363355962,594.300275804551,656.7841808496812,591.1370936695732,546.0009830212811,1193.6363958031045,567.9035225396565
14010002,508.93606648935935,532.2202986071228,455.1195069516991,460.0339090824151,416.9447906035838,439.95448055598166,928.7325862731888,786.8542868522181
10190004,547.514010829146,505.6652951620156,549.4324159170362,637.1008952823771,524.7282444772896,515.834410565967,1041.307873372016,577.4445912264935
14020001,531.4031113863779,575.0722632734173,478.9169985861154,478.83052575634525,437.4555590745893,530.5412781394053,914.3453343349416,740.1994322129875
14080103,353.3723189997286,331.6187682162569,226.1933930064421,413.0147490514883,373.2740948562499,511.99896778558286,1394.4452499940992,233.4075218012981
13020208,292.51027254886384,292.4607562109059,297.8547970065196,360.9239420801999,366.8665181193955,247.7540328976231,1515.6550570055952,248.15960219321207
13020209,217.84313975553388,215.62768636500735,215.6630498545801,275.863069382638,280.64484059551626,240.77166749943257,1667.3226077504924,211.33708757387527
13020206,415.5870406592329,457.061952127552,318.82836377592577,447.6723702003358,427.5638143148207,501.0187126937969,1470.2004286590086,247.861091266342
13020207,323.44139766854937,336.7497440074094,296.1682403652588,389.6887771723154,351.714813766689,377.1757247471993,1562.0100356425287,228.66980766453327
13020204,222.10322963536532,184.36499796528503,182.0992213826001,285.05505973373545,260.6495304978169,324.18554056315634,1618.339435428854,161.2558695389997
13020205,216.31965527888008,223.76676235808853,162.96354971031766,298.4302428733903,265.7211789734625,283.05480090316325,1540.3303772755369,188.78292270327432
14070005,360.8478163523915,201.60950951959543,266.3412697496268,468.6474121350973,384.5588855784681,564.1993856929587,1345.331238083714,411.9183340777024
16030002,451.54750589172977,387.96778199276247,363.6905280578874,549.1672749708937,449.55185567661806,460.4788227677107,1063.941431064035,641.4672166490525
